1,48.50,186.00
1,187.00,695.00
2,126.52,594.67
1,576.00,634.00
1,104.90,88.10
1,68.50,536.00
1,66.00,680.00
1,483.50,777.00
2,487.94,365.94
1,208.00,177.00
1,571.00,506.00
1,454.50,352.50
1,347.00,449.00
1,620.00,30.00
1,756.00,134.00
1,436.50,88.50
2,62.00,708.25
1,1.00,654.00
1,121.00,15.00
1,704.00,365.50
1,531.00,716.00
1,294.00,134.00
1,690.50,773.00
1,94.00,319.00
1,737.00,462.00
2,325.97,692.12
1,150.00,270.00
2,149.64,83.36
1,601.00,535.00
1,71.00,205.00
1,256.00,478.00
1,144.00,472.00
1,13.00,333.00
2,130.76,294.45
1,298.00,247.00
1,751.50,617.50
1,137.50,331.50
1,474.50,86.50
1,101.50,367.00
1,480.00,454.00
1,669.00,473.00
2,702.27,414.51
2,788.77,79.43
2,711.86,294.60
1,277.00,481.50
1,587.00,780.00
1,705.00,506.50
1,303.00,66.00
1,149.00,133.00
1,575.00,711.00
1,114.50,237.00
2,79.50,140.50
2,261.50,240.50
1,166.00,22.00
1,43.50,791.50
1,577.00,82.00
1,725.00,106.00
2,782.86,765.14
1,154.00,256.50
1,106.00,359.00
1,286.00,78.00
2,593.83,560.17
1,622.50,28.50
2,352.79,373.26
2,545.58,290.83
2,222.43,185.28
1,384.00,312.00
2,223.00,368.46
1,249.50,648.00
1,589.00,667.50
1,511.00,166.00
2,230.07,555.86
1,13.00,457.00
1,466.50,649.00
1,583.00,29.00
1,123.00,738.00
2,383.25,532.25
2,374.68,627.77
2,207.17,27.50
1,50.00,143.00
1,464.00,383.00
1,248.00,778.00
1,106.50,527.50
1,472.00,268.00
1,523.77,92.14
1,662.50,45.50
1,791.50,310.00
2,703.50,272.50
1,523.00,602.00
1,60.00,5.00
2,232.56,118.76
1,477.00,637.00
1,652.50,240.00
1,718.00,124.00
2,442.33,653.00
1,345.00,420.00
1,475.00,560.00
1,668.00,448.00
2,793.17,429.83
1,321.00,103.00
1,363.00,625.00
1,734.00,332.00
2,753.45,74.02
1,164.00,261.00
1,47.50,97.50
2,607.36,302.33
1,233.00,649.00
1,288.00,263.00
2,96.50,653.00
1,331.00,159.00
2,409.43,440.43
1,4.00,524.00
1,106.00,327.50
1,119.00,325.50
1,478.00,572.00
1,689.00,690.00
1,248.00,652.00
1,544.00,226.79
2,163.01,8.44
1,43.00,603.00
1,534.50,320.50
1,558.00,503.00
2,205.79,776.53
2,234.40,421.20
1,550.00,689.00
1,727.00,688.00
1,239.43,634.29
1,184.00,136.00
2,792.50,543.25
2,281.50,43.83
1,87.00,526.50
1,514.50,382.00
1,778.00,557.00
1,58.00,108.00
1,720.00,457.00
2,32.16,775.12
1,182.00,211.00
1,106.00,701.00
1,131.00,115.00
2,285.08,245.82
1,697.00,391.50
1,18.50,78.50
1,235.00,324.00
2,522.79,451.40
1,494.00,791.00
1,712.00,68.00
1,190.00,192.00
1,379.00,507.50
1,441.00,392.00
1,665.00,310.00
2,465.00,747.17
2,470.19,770.66
1,58.00,540.50
2,123.83,357.89
2,652.04,279.32
2,701.00,159.25
1,347.50,75.50
1,322.00,492.00
1,336.00,464.00
1,646.00,593.00
1,182.00,561.00
2,128.50,150.50
2,382.54,692.66
2,733.50,69.50
2,52.50,760.38
2,725.43,315.87
1,58.00,374.00
2,71.25,106.07
1,576.00,475.00
1,536.00,602.00
1,621.00,570.00
1,220.00,525.00
1,345.00,99.00
2,363.75,258.38
1,265.50,411.00
1,371.00,614.00
1,118.50,618.00
2,642.81,430.93
1,332.00,122.00
1,229.00,318.00
1,380.00,28.00
1,618.00,1.00
1,733.00,769.00
2,425.69,792.12
2,91.85,5.10
1,693.00,789.50
1,133.00,694.50
1,718.00,671.00
2,344.75,501.29
2,116.91,750.16
1,468.00,84.00
2,305.64,124.36
2,158.00,621.00
1,590.00,199.00
1,368.50,466.50
2,650.83,686.17
2,583.97,69.89
1,559.00,7.00
1,743.00,462.00
1,489.00,301.00
2,599.68,52.06
1,121.00,781.00
1,129.00,186.00
1,658.00,516.00
1,309.00,470.00
1,118.00,688.00
2,665.21,576.64
1,189.24,757.15
1,410.00,636.00
1,206.00,397.00
2,445.00,215.77
1,250.33,675.50
1,210.50,274.00
2,470.09,472.79
1,81.44,640.62
2,241.50,370.50
1,371.00,596.00
2,70.50,669.61
2,29.69,227.00
1,626.00,756.00
1,581.00,481.00
2,657.07,152.40
1,741.50,93.50
1,7.36,72.43
1,161.00,467.00
1,642.00,183.00
2,358.06,296.69
1,554.00,591.00
1,596.00,220.00
1,94.00,691.00
1,367.50,349.00
2,157.61,291.56
2,645.67,661.18
1,617.00,780.00
1,651.00,484.00
1,124.50,430.00
1,233.00,437.00
1,242.00,296.00
1,325.00,664.00
1,702.00,208.00
1,117.00,710.00
1,440.50,672.00
1,239.00,336.00
1,608.00,338.00
1,556.50,362.00
1,474.00,723.00
1,502.00,319.00
1,100.00,433.00
1,100.00,583.50
1,416.00,701.00
1,796.00,24.00
2,313.28,770.72
1,7.00,713.00
1,513.00,240.00
1,739.00,23.00
1,431.00,26.00
2,24.83,101.83
1,687.00,615.00
2,468.75,427.12
1,798.00,157.00
1,81.00,121.00
1,640.50,323.50
1,315.00,417.50
1,622.00,56.00
1,714.00,1.00
1,33.00,49.00
1,689.50,758.50
1,765.00,8.00
2,555.21,754.00
1,4.00,24.00
2,59.19,390.81
1,579.00,270.50
1,95.50,36.10
1,147.50,57.00
2,445.00,183.00
1,785.00,188.00
1,789.00,791.00
1,144.00,176.00
2,119.50,247.50
2,464.08,187.00
1,692.17,597.83
1,166.00,43.00
1,393.50,550.50
1,413.50,779.00
1,283.00,67.00
1,545.00,88.00
1,197.00,357.50
1,572.70,254.30
1,31.50,34.50
2,307.58,686.57
1,355.00,469.00
1,610.50,116.50
1,350.00,571.00
1,170.50,710.50
2,511.39,74.45
1,766.00,453.00
1,638.00,162.00
1,506.00,679.00
1,239.00,468.00
2,763.31,149.52
1,178.50,168.50
2,684.16,646.05
2,591.44,757.05
1,40.00,705.00
2,81.05,655.05
1,349.00,484.00
2,170.17,679.83
1,654.00,141.00
2,38.05,418.30
1,580.00,605.50
1,39.00,74.00
1,539.00,123.00
1,443.00,132.00
2,205.85,699.24
1,639.00,315.00
1,148.00,154.00
2,683.50,150.64
1,570.00,693.00
2,157.73,510.52
1,283.00,396.00
1,51.00,477.00
1,129.00,381.00
2,114.34,107.57
1,748.00,449.00
1,21.00,396.00
1,143.50,636.00
1,167.00,452.00
2,785.45,465.43
1,543.00,209.00
1,734.00,717.00
1,782.00,797.50
1,242.00,34.00
1,204.00,156.00
1,663.00,800.00
1,396.00,148.00
